"DateTime","Precip (gridMET)","Acre-feet","Ensemble ET","Acre-feet","NDVI","Crop","Area","Field ID","ET Units","Source","Method"
"2018-01-01 05:00:00",3.241,12.891,0.878,3.492,0.447,"Unknown","47.73 Acres","06227818","in","OpenET","https://openetdata.org/#tool"
"2018-02-01 05:00:00",0.449,1.786,1.454,5.783,0.401,
"2018-03-01 05:00:00",4.125,16.407,1.975,7.855,0.473,
"2018-04-01 04:00:00",2.097,8.340,3.486,13.865,0.605,
"2018-05-01 04:00:00",0.177,0.704,5.149,20.479,0.583,
"2018-06-01 04:00:00",0.000,0.000,6.649,26.445,0.601,
"2018-07-01 04:00:00",0.000,0.000,7.549,30.025,0.557,
"2018-08-01 04:00:00",0.000,0.000,5.955,23.685,0.547,
"2018-09-01 04:00:00",0.000,0.000,3.852,15.321,0.456,
"2018-10-01 04:00:00",0.241,0.959,2.538,10.094,0.433,
"2018-11-01 04:00:00",3.376,13.428,1.299,5.167,0.416,
"2018-12-01 05:00:00",2.067,8.221,1.053,4.188,0.460,
"2019-01-01 05:00:00",3.395,13.503,1.069,4.252,0.529,
"2019-02-01 05:00:00",6.096,24.246,1.474,5.863,0.558,
"2019-03-01 05:00:00",3.634,14.454,2.561,10.186,0.503,
"2019-04-01 04:00:00",0.411,1.635,3.725,14.816,0.567,
"2019-05-01 04:00:00",2.570,10.222,4.305,17.122,0.565,
"2019-06-01 04:00:00",0.013,0.052,5.429,21.593,0.531,
"2019-07-01 04:00:00",0.000,0.000,5.416,21.541,0.513,
"2019-08-01 04:00:00",0.000,0.000,4.289,17.059,0.459,
"2019-09-01 04:00:00",0.257,1.022,2.903,11.546,0.370,
"2019-10-01 04:00:00",0.001,0.004,1.671,6.646,0.309,
"2019-11-01 04:00:00",0.879,3.496,1.088,4.327,0.392,
"2019-12-01 05:00:00",4.321,17.186,0.759,3.019,0.390,
"2020-01-01 05:00:00",1.089,4.331,0.779,3.098,0.355,
"2020-02-01 05:00:00",0.003,0.012,1.161,4.618,0.321,
"2020-03-01 05:00:00",2.804,11.152,2.028,8.066,0.395,
"2020-04-01 04:00:00",1.816,7.223,3.776,15.018,0.499,
"2020-05-01 04:00:00",0.652,2.593,5.072,20.173,0.472,
"2020-06-01 04:00:00",0.003,0.012,6.020,23.944,0.488,
"2020-07-01 04:00:00",0.000,0.000,6.920,27.523,0.491,
"2020-08-01 04:00:00",0.013,0.052,5.956,23.689,0.499,
"2020-09-01 04:00:00",0.000,0.000,4.357,17.329,0.493,
"2020-10-01 04:00:00",0.000,0.000,2.707,10.767,0.426,
"2020-11-01 04:00:00",0.752,2.991,1.298,5.163,0.396,
"2020-12-01 05:00:00",1.689,6.718,0.782,3.110,0.373,
"2021-01-01 05:00:00",3.613,14.370,1.230,4.892,0.384,
"2021-02-01 05:00:00",0.892,3.548,1.764,7.016,0.406,
"2021-03-01 05:00:00",1.375,5.469,2.408,9.577,0.440,
"2021-04-01 04:00:00",0.065,0.259,4.607,18.324,0.565,
"2021-05-01 04:00:00",0.003,0.012,5.255,20.901,0.528,
"2021-06-01 04:00:00",0.000,0.000,6.518,25.924,0.544,
"2021-07-01 04:00:00",0.000,0.000,5.991,23.828,0.514,
"2021-08-01 04:00:00",0.000,0.000,5.717,22.738,0.521,
"2021-09-01 04:00:00",0.014,0.056,4.077,16.216,0.508,
"2021-10-01 04:00:00",3.814,15.170,2.428,9.657,0.531,
"2021-11-01 04:00:00",0.517,2.056,1.187,4.721,0.540,
"2021-12-01 05:00:00",6.161,24.504,0.895,3.560,0.544,
"2022-01-01 05:00:00",0.038,0.151,0.989,3.934,0.506,
"2022-02-01 05:00:00",0.098,0.390,1.388,5.521,0.417,
"2022-03-01 05:00:00",0.742,2.951,2.722,10.826,0.470,
"2022-04-01 04:00:00",1.115,4.435,4.004,15.925,0.576,
"2022-05-01 04:00:00",0.007,0.028,5.561,22.118,0.611,
"2022-06-01 04:00:00",0.030,0.119,5.508,21.907,0.592,
"2022-07-01 04:00:00",0.000,0.000,6.541,26.016,0.589,
"2022-08-01 04:00:00",0.010,0.040,5.268,20.953,0.547,
"2022-09-01 04:00:00",0.476,1.893,4.126,16.411,0.536,
"2022-10-01 04:00:00",0.000,0.000,2.710,10.779,0.532,
"2022-11-01 04:00:00",1.701,6.765,1.282,5.099,0.507,
"2022-12-01 05:00:00",7.641,30.391,0.596,2.370,0.525,
"2023-01-01 05:00:00",7.399,29.428,0.922,3.667,0.538,
"2023-02-01 05:00:00",2.851,11.339,1.307,5.198,0.478,
"2023-03-01 05:00:00",6.280,24.978,1.962,7.804,0.474,
"2023-04-01 04:00:00",0.069,0.274,3.785,15.054,0.603,
"2023-05-01 04:00:00",0.577,2.295,5.122,20.372,0.639,
"2023-06-01 04:00:00",0.023,0.091,5.946,23.649,0.625,
"2023-07-01 04:00:00",0.000,0.000,6.935,27.583,0.646,
"2023-08-01 04:00:00",0.054,0.215,6.120,24.341,0.621,

